SampleID	SSPOOL	specimen_id	Pools
MADH078_652559_8071094098_A52_S163	SSPOOL15	652559	A52
MADH078_652560_8071094304_A52_S145	SSPOOL15	652560	A52
MADH102_652560_8071094304_A52_S151	SSPOOL20	652560	A52
MADH078_652561_8071093788_A52_S104	SSPOOL15	652561	A52
MADH078_652561_8071093767_A52_S172	SSPOOL15	652561	A52
MADH078_652563_8071094145_A52_S117	SSPOOL15	652563	A52
MADH078_652563_8071093707_A52_S185	SSPOOL15	652563	A52
MADH078_652564_8071094004_A52_S120	SSPOOL15	652564	A52
MADH078_652564_8071094073_A52_S191	SSPOOL15	652564	A52
MADH102_652567_8071093676_A52_S154	SSPOOL20	652567	A52
MADH113_ANG-R263_8071119760_A52_S2	SSPOOL22	AN001P024	A52
MADH113_ANG-R290_8071119842_A52_S25	SSPOOL22	AN001P028	A52
MADH113_ANG-R297_8071120633_A52_S30	SSPOOL22	AN001P040	A52
MADH113_ANG-R285_8071120139_A52_S20	SSPOOL22	AN001P042	A52
MADH113_ANG-R273_8071120076_A52_S9	SSPOOL22	AN001P043	A52
MADH113_ANG-R287_8071119992_A52_S22	SSPOOL22	AN001P044	A52
MADH113_ANG-R293_8071119952_A52_S28	SSPOOL22	AN001P045	A52
MADH113_ANG-R278_8071119917_A52_S15	SSPOOL22	AN001P048	A52
MADH052_ANG-R270_8071120568_A52_S3	SSPOOL13	AN001P050	A52
MADH113_ANG-R292_8071120098_A52_S27	SSPOOL22	AN001P051	A52
MADH113_ANG-R313_8071120333_A52_S44	SSPOOL22	AN001P053	A52
MADH113_ANG-R335_8071120101_A52_S65	SSPOOL22	AN001P054	A52
MADH052_ANG-R269_8071120273_A52_S2	SSPOOL13	AN001P058	A52
MADH113_ANG-R299_8071119902_A52_S32	SSPOOL22	AN001P061	A52
MADH052_ANG-R304_8071120244_A52_S8	SSPOOL13	AN001P062	A52
MADH113_ANG-R306_8071120419_A52_S38	SSPOOL22	AN001P064	A52
MADH113_ANG-R333_8071119971_A52_S64	SSPOOL22	AN001P065	A52
MADH113_ANG-R310_8071120004_A52_S42	SSPOOL22	AN001P067	A52
MADH113_ANG-R274_8071119918_A52_S10	SSPOOL22	AN001P070	A52
MADH113_ANG-R311_8071119872_A52_S43	SSPOOL22	AN001P072	A52
MADH113_ANG-R288_8071120567_A52_S23	SSPOOL22	AN001P074	A52
MADH113_ANG-R276_8071119967_A52_S12	SSPOOL22	AN001P076	A52
MADH113_ANG-R321_8071119796_A52_S53	SSPOOL22	AN001P077	A52
MADH113_ANG-R319_8071119929_A52_S51	SSPOOL22	AN001P078	A52
MADH113_ANG-R300_8071120195_A52_S33	SSPOOL22	AN001P080	A52
MADH113_ANG-R320_8071119836_A52_S52	SSPOOL22	AN001P082	A52
MADH113_ANG-R323_8071119837_A52_S55	SSPOOL22	AN001P083	A52
MADH113_ANG-R315_8071120447_A52_S46	SSPOOL22	AN001P084	A52
MADH113_ANG-R280_8071119852_A52_S17	SSPOOL22	AN001P085	A52
MADH113_ANG-R305_8071120102_A52_S37	SSPOOL22	AN001P089	A52
MADH113_ANG-R324_8071120392_A52_S56	SSPOOL22	AN001P091	A52
MADH113_ANG-R330_8071120224_A52_S62	SSPOOL22	AN001P092	A52
MADH113_ANG-R308_8071120359_A52_S40	SSPOOL22	AN001P099	A52
MADH113_ANG-R322_8071120582_A52_S54	SSPOOL22	AN001P101	A52
MADH053_ANG-R378_8071120088_A52_S84	SSPOOL10	AN002P008	A52
MADH053_ANG-R379_8071120542_A52_S90	SSPOOL10	AN002P010	A52
MADH053_ANG-R374_8071120124_A52_S53	SSPOOL10	AN002P011	A52
MADH053_ANG-R381_8071120412_A52_S106	SSPOOL10	AN002P014	A52
MADH053_ANG-R399_8071120683_A52_S65	SSPOOL10	AN002P015	A52
MADH053_ANG-R395_8071119764_A52_S92	SSPOOL10	AN002P029	A52
MADH053_ANG-R352_8071120369_A52_S88	SSPOOL10	AN002P032	A52
MADH053_ANG-R402_8071120304_A52_S87	SSPOOL10	AN002P055	A52
MADH053_ANG-R2771_8071119855_A52_S79	SSPOOL10	AN002P056	A52
MADH053_ANG-R390_8071119936_A52_S55	SSPOOL10	AN002P058	A52
MADH053_ANG-R357_8071120210_A52_S60	SSPOOL10	AN002P061	A52
MADH053_ANG-R341_8071120094_A52_S66	SSPOOL10	AN002P062	A52
MADH053_ANG-R384_8071119922_A52_S70	SSPOOL10	AN002P063	A52
MADH052_ANG-R389_8071120138_A52_S5	SSPOOL13	AN002P064	A52
MADH053_ANG-R363_8071120283_A52_S104	SSPOOL10	AN002P065	A52
MADH053_ANG-R396_8071120238_A52_S100	SSPOOL10	AN002P068	A52
MADH053_ANG-R347_8071120000_A52_S50	SSPOOL10	AN002P070	A52
MADH053_ANG-R362_8071120610_A52_S96	SSPOOL10	AN002P072	A52
MADH053_ANG-R382_8071119805_A52_S54	SSPOOL10	AN002P076	A52
MADH053_ANG-R394_8071120703_A52_S86	SSPOOL10	AN002P077	A52
MADH053_ANG-R346_8071120394_A52_S102	SSPOOL10	AN002P078	A52
MADH053_ANG-R350_8071120692_A52_S74	SSPOOL10	AN002P079	A52
MADH052_ANG-R361_8071120019_A52_S4	SSPOOL13	AN002P081	A52
MADH053_ANG-R365_8071119818_A52_S61	SSPOOL10	AN002P084	A52
MADH053_ANG-R404_8071119774_A52_S101	SSPOOL10	AN002P086	A52
MADH053_ANG-R343_8071120505_A52_S80	SSPOOL10	AN002P087	A52
MADH053_ANG-R392_8071120331_A52_S71	SSPOOL10	AN002P089	A52
MADH033_ANG-R2009_8071088697_A52_S27	SSPOOL5	AN003P105	A52
MADH038_ANG-R2061_8071088690_A52_S241	SSPOOL6	AN003P121	A52
MADH033_ANG-R2020_8071122330_A52_S38	SSPOOL5	AN003P130	A52
MADH033_ANG-R2019_8071088205_A52_S37	SSPOOL5	AN003P134	A52
MADH033_ANG-R2008_8071088575_A52_S26	SSPOOL5	AN003P138	A52
MADH038_ANG-R2071_8071088668_A52_S265	SSPOOL6	AN003P140	A52
MADH038_ANG-R2072_8071087962_A52_S48	SSPOOL26	AN003P143	A52
MADH038_ANG-R2072_8071087962_A52_S277	SSPOOL6	AN003P143	A52
MADH033_ANG-R2007_8071088745_A52_S25	SSPOOL5	AN003P149	A52
MADH038_ANG-R2069_8071087878_A52_S43	SSPOOL26	AN003P150	A52
MADH038_ANG-R2069_8071087878_A52_S194	SSPOOL6	AN003P150	A52
MADH033_ANG-R1993_8071088081_A52_S11	SSPOOL5	AN003P157	A52
MADH033_ANG-R2024_8071088523_A52_S42	SSPOOL5	AN003P159	A52
MADH033_ANG-R1986_8071088018_A52_S4	SSPOOL5	AN003P160	A52
MADH033_ANG-R2010_8071088657_A52_S28	SSPOOL5	AN003P178	A52
MADH033_ANG-R2043_8071088520_A52_S61	SSPOOL5	AN003P179	A52
MADH033_ANG-R2025_8071088313_A52_S43	SSPOOL5	AN003P181	A52
